content,sentiment,processed
Không thấy ngon trà sữa nhạt đắng từ sau không ủng hộ nữa từ sau mua chỗ khác,neg,không ngon trà sữa nhạt đắng không ủng_hộ mua chỗ khác
"Phần này mà 2 nguoi ăn cái gì trời mắc quá trời vậy, có lộn ko vậy quán",neg,2 nguoi trời mắc trời lộn không quán
khách đặt thêm pudding socola nhưng ko bỏ vô,neg,pudding socola không vô
Đặt 2 bánh cuốn trứng mà quán làm 1 bánh cuốn trứng 1 bánh cuốn thường. Không đặt lần thứ 2,neg,2 bánh_cuốn trứng quán 1 bánh_cuốn trứng 1 bánh_cuốn không 2
đã nhắn không rau mà cũng cho rau,neg,nhắn không rau rau
"Phải giảm lượng đường đi ạ 
Quá ngọtt",neg,đường đi ngọtt
"hộp bé tý tẹo,hộp này  làm sao mà 400g được, chỉ khoảng 200g thôi, với cả cũng ko mùi thơm, cũng chả có nhãn bao bì ngày sản xuất hạn sử dụng",neg,hộp bé tý tẹo hộp làm_sao 400g 200g không mùi thơm chả nhãn bao_bì sản_xuất hạn sử_dụng
"Đặt trà sữa mà không khác gì nước đường pha ra :) loãng loẹt
Quá thất vọng",neg,trà sữa không khác đường pha vui loãng loẹtquá thất_vọng
"bán canh khổ qua ko cho bịch nước mắm, bán cơm mà cũng ko cho trái ớt 🥲",neg,canh khổ_qua không bịch nước_mắm cơm không trái ớt 🥲
"mình mua thêm huyết(8k)  với bánh phồng (3k), cho như ko cho , tô bánh canh 42k đây ạ",neg,mua huyết 8k bánh_phồng 3k như_không tô bánh_canh 42k
thịt xào mắm ruốc ngon nhưng trời ơi mặn quá. mặn mà 1 phần thịt ăn đc 3 lần cơm,neg,thịt xào mắm ruốc ngon trời mặn mặn 1 thịt đc 3 cơm
Ăn xong một phát đi ngoài luôn bình thường thì nhưng ăn là lại bị mọi người ko nên mua,neg,xong phát đi_ngoài bình_thường không mua
"Đặt 2 ly khổng lồ, thu tiền 2 ly khổng lồ 38k nhưng lại là ly nhỏ",neg,2 ly khổng_lồ thu tiền 2 ly khổng_lồ 38k ly
"Không muốn bình luận , mong cửa hàng chủ động cải thiện để có thêm khách !",neg,không bình_luận mong cửa_hàng chủ_động cải_thiện
"Chuối chiên mềm , ko giòn chút nào, chắc chiên lâu rồi,mong cửa hàng lưu ý hơn",neg,chuối chiên mềm không giòn chút chiên mong cửa_hàng lưu_ý
đặt bánh mỳ heo quay 25k nhưng lại giao bánh mỳ thập cẩm 20k là sao? ăn gian 5k của khách hàng. lừa đảo.,neg,bánh mỳ heo 25k giao bánh mỳ thập_cẩm 20k ăn_gian 5k khách_hàng lừa_đảo
"gà không được ngon cho lắm, thịt gà rất dai, ít thịt, gà thì rất bé",neg,gà không ngon lắm thịt gà dai thịt gà bé
Đặt 2 phần bánh bao là 4 cái nhưng chỉ giao 1 phần 2 cái,neg,2 bánh_bao 4 giao 1 2
"Tô hủ tíu 35k đc 1 miếng đậu hũ 2 miếng đậu hũ ki với vài ba miếng nấm le que, làm ăn vậy rồi ai dám mua lần 2 ạ, bán đồ chay mà ko có tâm chút xíu nào luôn",neg,tô hủ tíu 35k đc 1 miếng đậu_hũ 2 miếng đậu_hũ ki vài_ba miếng nấm le que làm_ăn dám mua 2 đồ chay không tâm chút_xíu
"Bán gà cũ, bị thiu nguyên một mảng tởm vl, mọi người đừng đặt gà ở đây nữa, làm ăn không có lương tâm",neg,gà cũ thiu nguyên mảng tởm vl đừng gà làm_ăn không lương_tâm
"Một phần 35k quá đắt, bánh tráng trộn ít. Tóp mỡ bị ỉu ăn cứng ko giòn, nước sốt ổn. Ko mua lại lần sau",neg,35k đắt bánh_tráng trộn tóp_mỡ ỉu cứng không giòn sốt ổn không mua
"Chất lượng ngày càng tệ, ngày đầu ngon bao nhiêu nay dở bấy nhiêu, ăn nốt lần này , bye bye shop",neg,chất_lượng ngày_càng tệ đầu ngon bao_nhiêu dở bấy_nhiêu nốt bye bye shop
Không có rau răm. Há cảo tôm thấy toàn bột không. Giá cả không hợp lý. Shipper chậm,neg,không rau_răm há cảo tôm toàn bột không giá_cả không hợp_lý shipper chậm
Nước ép dưa hấu gì mà uống vào toàn nghe mùi tứ lung tung loại trái cây hộn hợp :))) . Chả nghe mùi dưa hấu gì cả .,neg,ép dưa_hấu uống toàn mùi tứ lung_tung trái_cây hộn hợp vui chả mùi dưa_hấu
chân gà quá mặn. ăn không nổi nữa. thất vọng quá là thất vọng luôn,neg,chân gà mặn ăn_không nổi thất_vọng thất_vọng
"nước dâu tằm ngọt quá shop ơi, . . . . . . . .",neg,dâu_tằm shop
Đặt nước mắm không cay cho con nít ăn mà để cay quá phải ăn cơm không,neg,nước_mắm không cay con_nít cay cơm không
Shop ship cho mình thiếu đồ nhé. Hôm nay mình đặt 1 cơm sườn nướng thêm trứng mà lúc nhận lại thiếu mất trứng của mình,neg,shop ship đồ hôm_nay 1 cơm sườn nướng trứng trứng
hơi nhiều mỡi xíu quán lên cho ít mỡ đi 1 tý nhé em chỉ cần vậy thôii,neg,hơi mỡi xíu quán mỡ đi 1 tý thôii
"ủa alo quán luôn á, đặt bánh tráng cuộn thì giao bánh tráng trộn, mệt",neg,alo quán bánh_tráng cuộn giao bánh_tráng trộn mệt
mình order bún thập cẩm sao mà không có mực hay tôm chả gì hết luôn 😭😭😭,neg,order bún thập_cẩm không mực tôm chả 😭
Ko có trái ớt,neg,không trái ớt
Khẩu phần nhỏ mà giá cao. Cho dù có bù tiền freeship nữa thì vẫn không phù hợp với 25k chút nào,neg,khẩu_phần giá cho_dù bù tiền freeship không phù_hợp 25k chút
ít tẹo quá đắt quá đắt đc 3k bún với 4 miếng bò toàn nước,neg,tẹo đắt đắt đc 3k bún 4 miếng bò toàn
sao đặt phần 50k ship tới thu 60k là sao trong menu cũng ko có phần nào 60k đâu,neg,50k ship thu 60k menu không phần_nào 60k
"Sao hôm nào đặt ly đặc biệt cũng thiếu flan vậy, chán thât sự, thêm tiền mà như ly bth thế này uống làm gì😒",neg,hôm ly đặc_biệt flan chán thât tiền ly bth uống 😒
"hình như đây là cửa hàng nhái. cửa hàng nhượng quyền hay chi nhánh ko thể nào làm ra trân châu dở như vậy: bở và ko ngon như chi nhánh trên Nguyễn Huệ và An Dương Vương. thứ 2 là giá đã giảm trên app khác mà giá trên hóa đơn lại khác? ko hiểu chỗ này.
mọi người đừng thấy rẻ mà mua.",neg,hình_như cửa_hàng nhái cửa_hàng nhượng quyền chi_nhánh không_thể_nào trân_châu dở bở không ngon chi_nhánh nguyễn huệ an dương vương 2 giá app khác giá hóa_đơn khác không chỗ đừng rẻ mua
"Món ăn Ok, nhưng giao hàng quá lâu đi",neg,món ok giao hàng đi
Không có súp và kim chi như mô tả trên app. thật sự thất vọng.,neg,không súp kim chi mô_tả app thật_sự thất_vọng
"3 ly bơ vị giống nhau ko biết ly ai của ai luôn,ko biết ly nào nhiều sữa ly nào ít đường...",neg,3 ly bơ vị không ly không ly sữa ly đường
"đặt size L thêm pudding và trân châu nhưng kh thấy thêm, đúng ly size L",neg,size l pudding trân_châu không đúng ly size l
"Tự ý đổi nước, đổi số rẻ hơn 5k mà ko trừ trong hoá đơn",neg,tự_ý đổi đổi rẻ 5k không trừ hoá_đơn
"nói có thạch đen, trân châu thì không có thạch đen, không đá thì vẫn để đá, không ghi có dừa khô thì vẫn cho dừa khô, sẽ không đặt bất kỳ một lần nào nữa",neg,thạch đen trân_châu không thạch đen không đá đá không ghi dừa khô dừa khô không bất_kỳ
bánh tráng nhiều nma dỡ cực luôn á lạt vãi luôn như trộn dầu vào thêm vài 3 trái trứng đóng gói sơ xài,neg,bánh_tráng nma dỡ cực lạt vãi trộn dầu 3 trái trứng đóng_gói sơ xài
"Trà đào menu 16k sau khi đặt tính 26k vậy shop, hãy xem lại nhé",neg,trà đào menu 16k 26k shop xem_lại
chưa nhận được đơn hàng,neg,đơn hàng
"Cháo ko có rau thơm, ko thấy 1 tẹo lươn luôn ă trời. Mình ghi người lớn ăn thì nên cho rau thơm chứ.",neg,cháo không rau_thơm không 1 tẹo lươn ă trời ghi người_lớn rau_thơm
"Bột dù ấm nhưng trắng nhách như ko chiên !!! Mình thấy có vài cmt nói r nhưng nghĩ do sơ xuất thôi, ko ngờ quán chiên bột trắng nhách thật =)))",neg,bột ấm trắng nhách không chiên cmt r sơ xuất không ngờ quán chiên bột trắng nhách vui
"đặt mấy lần trước thì ok, sau càng ngày càng ít với không đặc như lần đầu",neg,mấy ok ngày_càng không đặc đầu
mua khá nhiều lần bánh khá ngon và hợp giá tiền mà nay mua 2 cái thập cẩm mà 1 cái có thịt 1 cái ko có chỉ có  rau :(,neg,mua khá bánh khá ngon hợp giá tiền mua 2 thập_cẩm 1 thịt 1 không rau buồn
"K hiểu sao những lần trước ăn ngon lắm còn ăn hết nữa. Nma lần này thì ăn mãi k hết, ăn chán huhuuu",neg,không ngon lắm nma mãi không chán huhu
"Làm nhanh hơn , bún thì rời rạc đồ thì lạnh k ngon một tí nào luôn",neg,bún rời_rạc đồ lạnh không ngon một_tí
nhân viên k cho sốt gravy khi pack cơm gà giòn cay cho khách. khách yêu cầu lấy miếng má đùi nhân viên k gọi đổi miếng mà lấy miếng lườn,neg,nhân_viên không sốt gravy pack cơm gà giòn cay yêu_cầu miếng má đùi nhân_viên không gọi đổi miếng miếng lườn
"cháo quá dở...bảo không để gan nhưng vấn đề để,quá mặn về hầu như bỏ hết",neg,cháo dở bảo không gan vấn_đề mặn hầu_như
nhầm cơm và cơm bị nhão. mỡ quá nhiều toàn mỡ. dù sao đây cũng là lần đầu tiên,neg,nhầm cơm cơm nhão mỡ toàn mỡ dù_sao đầu_tiên
Gì mà cốc bạc xỉu nhận xong xỉu ngang xỉu dọc. 1 hơi hết mẹ cả cốc mà còn toàn đá,neg,cốc bạc xỉu xong xỉu ngang xỉu dọc 1 hơi mẹ cốc toàn đá
"mua 2 ly khác loại, nhưng khi giao quán không ghi chú phân biệt, nắp thì đậy không kín, đổ ra ngoài tùm lum, quá tệ.",neg,mua 2 ly khác giao quán không ghi_chú phân_biệt nắp đậy không kín đổ tùm_lum tệ
"Tào phớ làm quá ngọt, ngọt kiểu đường hoá học
Ăn không ngon so với tầm giá",neg,tào_phớ kiểu đường hoá họcăn không ngon tầm giá
Món ăn không ngon mì xào mà có nước quá nhiều Hải sản không tươi,neg,món ăn_không ngon mì xào hải_sản không tươi
giao sai.  đơn là chai 330ml mà lại giao ly nhựa. rất bức xúc với cách làm việc như này.  không làm đúng đơn hàng.,neg,giao sai đơn chai 330ml mà_lại giao ly nhựa bức_xúc làm_việc không đúng đơn hàng
Mình gọi cf đen mà sao lại làm cho mình cf sữa 🌝,neg,gọi cf đen cf sữa 🌝
"58 ngàn 1 tô mà k cho dụng cụ ăn uống, bán quán gì như qq vậy? Buôn bán có lương tâm không vậy? Không cho dụng cụ ăn uống thì cũng phải thêm mục mua hay sao chứ? Bán hàng có tâm không hay chỉ bán cho khách 1 lần ăn rồi quay lại fb như thế này?",neg,58 ngàn 1 tô không dụng_cụ ăn_uống quán qq buôn_bán lương_tâm không không dụng_cụ ăn_uống mục mua hàng tâm không 1 fb
"bánh xèo mềm xìu, cầm lên là đồ ăn rơi xuống hết còn mỗi cái vỏ bánh.",neg,bánh_xèo mềm xìu cầm đồ rơi vỏ bánh
nói là k tốn tiền ship.mà tụi giao trà sữa qua đây giao đòi 20k tiền ship kìa,neg,không tốn tiền ship tụi giao trà sữa giao đòi 20k tiền ship kìa
thấy ăn ko hợp. phô mai ít .bánh mì khô,neg,không hợp phô_mai bánh_mì khô
"Cơm ăn như cơm nguội, không nuốt nổi! Ko ngon như mọi lần trước mua- cạch luôn",neg,cơm cơm nguội không nuốt nổi không ngon mua cạch
"Trà sữa việt quất giá 25k  mà không hề có thạch thậm chí không có trân châu luôn, ủa aloooo???",neg,trà sữa việt_quất giá 25k không hề thạch thậm_chí không trân_châu alo
"Bánh tráng bị mốc phải bỏ hết, trà sữa hơi lạt không ngon lắm. 🥹",neg,bánh_tráng mốc trà sữa hơi lạt không ngon lắm 🥹
Nước lèo khá nhạt. Mình là người ăn nhạt nhưng cái vị bún bò này vẫn nhạt hơn so với khẩu vị của mình,neg,nước_lèo khá nhạt nhạt vị bún_bò nhạt khẩu_vị
thanh toán qua thẻ nhưng vẫn bắt khách và shipper thanh toán thêm tiền mặt.,neg,thanh_toán thẻ bắt shipper thanh_toán tiền_mặt
"Không có nước tương, muốn khóc luôn     Ahhhhhhhhhhhhhhhhhhhhh",neg,không tương khóc ah
"Không ngon, đủ đồ nhưng nước chấm lạ, k giống nước chấm chuẩn nem nướng, rất cay còn có mùi khó chịu",neg,không ngon đồ nước_chấm lạ không nước_chấm chuẩn nem nướng cay mùi khó_chịu
Đặt từ tối hôm qua hôm nay mới giao,neg,tối hôm_qua hôm_nay giao
"Trời ơi quán ơi, làm ly trà tắc cho em nhưng không bỏ đường???!!!!!!! Là sao",neg,trời quán ly trà tắc không đường
"nhà này làm ăn chán thật , đã dặn là say thức ăn thôi k cần phải say cháo mà vẫn say . chán thế , quá tồi",neg,làm_ăn chán dặn say thức_ăn không say cháo say chán tồi
"treo đầu dê bán thịt chó, bán bún bò nhưng lại là riêu cua, đừng nên mua mn ạ, đã kêu k ăn riêu cua nhưng về vẫn là vị cua :)",neg,treo đầu dê thịt chó bún_bò riêu cua đừng mua mn kêu không riêu cua vị cua vui
"rửa rau k kĩ, còn con sâu này",neg,rửa rau không kĩ sâu
"không giống như quảng cáo, ăn xong còn cảm giác đau bụng , cùng với giá tiền nhưng nơi khác sẽ đầy đủ và ngon hơn, thậm chí khẩu phần cũng nhiều hơn quán này. cho đánh giá hài lòng nhưng sẽ k mua lại. hôm kia mua cơm rang quán này trên shopee food thì bán cho cơm thiu.  dẹp quán đi nhé.",neg,không quảng_cáo xong cảm_giác đau bụng giá tiền khác đầy_đủ ngon thậm_chí khẩu_phần quán đánh_giá hài_lòng không mua hôm_kia mua cơm_rang quán shopee food cơm thiu dẹp quán đi
"Món ăn quan trọng nhất vẫn là vệ sinh mình đánh giá rất thấp về phần rau rất lộn xộn còn cả trứng, con rận trên lá cải thì thua rồi. Mình k dám đặt lần nữa",neg,món quan_trọng vệ_sinh đánh_giá rau lộn_xộn trứng rận lá_cải thua không dám
đặt cafe đá xay mà ra cafe đá thường giá thì 20k 1 ly luôn trời,neg,cafe đá xay cafe đá giá 20k 1 ly trời
mua hai phần bánh tráng  mà cho có một đôi đũa thì ai ăn ai nhịn đâyyyyyyyyyy?????????????,neg,mua hai bánh_tráng đôi đũa nhịn
ít. sợi bún trông không sạch. củ cải nạo sợi  chứ không thái lát mỏng như những quán trước mình ăn thực sự ko thích. ăn cũng không đến mức tệ nhưng cảm giác ko sạch,neg,sợi bún trông không sạch củ_cải nạo sợi không thái lát mỏng quán thực_sự không không tệ cảm_giác không sạch
Cơm hơi nhạt ạ,neg,cơm hơi nhạt
Bánh mì gì không có miếng rau nào.,neg,bánh_mì không miếng rau
Đặt bún xào chả giò nhưng ko để chả giò ! ! ! ! ! !,neg,bún xào chả_giò không chả_giò
Ko chân châu mỗi ít trà ít sữa trông chán . . . . .,neg,không chân châu trà sữa trông chán
nước lèo quá nguội về hộp thì lại nhỏ xíu. cửa hàng còn cải thiện thêm,neg,nước_lèo nguội hộp nhỏ_xíu cửa_hàng cải_thiện
"Giao thiếu trứng đặt thêm, nhờ shiper quay lại lấy thì bên cửa hàng làm khó shiper.",neg,giao trứng shiper cửa_hàng làm_khó shiper
"trân châu làm bằng thạch đặt, trà sữa matcha mà lại giao sữa tươi trân châu sữa thì ngọt gắt uống muốn tiểu đường",neg,trân_châu làm_bằng thạch trà sữa matcha mà_lại giao sữa_tươi trân_châu sữa gắt uống tiểu_đường
"Không có trứng và thịt như lời miêu tả, chỉ có 2 lát bò viên mỏng và mấy lát chả mỏng thuiii 😁",neg,không trứng thịt miêu_tả 2 lát bò viên mỏng mấy lát chả mỏng thui 😁
nui cứng như chưa chín. thịt bò bằm thì dai như dây thun. quá tệ,neg,nui cứng chín thịt bò bằm dai dây_thun tệ
"Bán quá mắc , rau thì ít, không hài lòng, 1 tô bún 27k mà chưa tới 8 miếng thịt bò",neg,mắc rau không hài_lòng 1 tô bún 27k 8 miếng thịt bò
"cái tô vừa đổ ra nghe toàn mùi hôi khói . nước lèo thì nhạt , mắm tôm cũng dở ko cứu đc. nói chung là tệ",neg,tô đổ toàn mùi hôi khói nước_lèo nhạt mắm_tôm dở không cứu đc nói_chung tệ
Có ớt nhưng ko có quất🥺 là ko ngon r 🥺 chắc là quên . Ăn mất ngon luôn ,neg,ớt không quất 🥺 không ngon r 🥺 quên ngon
quán cần chú ý hơn vì bọc nước lèo bị thủng. chảy đầy bọc ngoài. =((((,neg,quán chú_ý bọc nước_lèo thủng chảy bọc buồn
"cơm quá dở và quá cứng
mọi người đừng nên ăn quán này 
cho quán này 0 điểm",neg,cơm dở cứngmọi đừng quán quán 0
"đưa hộp nhỏ xíu sao mà bỏ vô ăn , ko hiểu nổi , tô mũ rẻ thấy bà , cứ cộng vô , vậy r sao ăn , bó tay",neg,hộp nhỏ_xíu vô không nổi tô mũ rẻ cộng vô_vậy r bó_tay
"Kêu 4 loại topping 4 ly mà cho vậy, lạy. Quá tào lao
Để nghị quán gọi giải thích chứ quá tào lao rồi",neg,kêu 4 topping 4 ly lạy tào laođể nghị quán gọi giải_thích tào_lao
"Trà vải ngon, nhma kiểu nó quá nhạt. Mình yêu cầu 70% đường mà mình cảm nhận như chắc được 50% huhu nên đá tan ra uống chỉ nghe mùi trà + đá",neg,trà vải ngon nhma kiểu nhạt yêu_cầu 70 đường cảm_nhận 50 huhu đá tan uống mùi trà_đá
"Đồ ăn ít quá so với giá tiền, tokpokki mềm quá không ngon.. nhận xét riêng, k hài lòng",neg,đồ giá tiền tokpokki mềm không ngon nhận_xét không hài_lòng
"cơm tấm quá trời nhiễn luôn ăn như ăn xác dừa
 vậy á trời ơi",neg,cơm trời nhiễn xác dừa trời_ơi
"Em đặt sườn nướng + trứng ốp la+ chả cá mà không có trứng, sườn thì không phải là nướng",neg,sườn nướng trứng ốp la chả cá không trứng sườn không nướng
Nhận nước mà bắt khách chạy gần 2 cây số để lấy nước 😩,neg,bắt chạy 2 cây_số 😩
Xôi không các bạn ạ ! 35k này không bằng 15k mua ngoài vỉa hè nữa trời đất!!!,neg,xôi không 35k không 15k mua vỉa_hè trời_đất
"Rau bị úng, thịt nướng một vài lát có mùi. Sẽ không đặt hàng lần thứ 2.",neg,rau úng thịt nướng một_vài lát mùi không đặt_hàng 2
"Dở quá , lạt quá , y như đổ thêm nước lã vào, ko nghe mùi vị gì cả",neg,dở lạt y_như đổ nước_lã không mùi_vị
Tất cả đều ok chỉ có mỗi cơm còn sống. nên mình đánh giá ko hài lòng🙄,neg,tất_cả ok cơm sống đánh_giá không hài_lòng 🙄
2 suất loạn sì ngầu đồ ăn lên chả lá lốt đâu vậy :(((,neg,2 suất loạn ngầu đồ chả lá_lốt buồn
Cf đắng quá ! Ko hợp khẩu vị !,neg,cf đắng không hợp_khẩu_vị
Trà sữa đặc biệt mà dở tệ,neg,trà sữa đặc_biệt dở_tệ
trà cam đào hơi ngọt,neg,trà cam đào hơi
1 phần nhiều nhưng thành thật ăn cá cảm giác k tươi hôi hôi sao á không ngon,neg,1 phần_nhiều thành_thật cá cảm_giác không tươi hôi hôi không ngon
"Bán đồ cũ, hỏng cho khách. Làm ăn vui lòng có tâm và mang đúng giá trị thật cho khách hàng.",neg,đồ cũ hỏng làm_ăn vui_lòng tâm đúng giá_trị khách_hàng
"Quá tệ, Quá dở, không bao giờ đặt lại lần nào nữa omg :) Cơm thì sống nhăn cũng bán được",neg,tệ dở không bao_giờ omg vui cơm sống_nhăn
"Điểm cộng: bún nhiều, topping nhiều loại, nem chả ram
Điểm trừ: nêm nếm ko đc ngon lắm, mọi thứ lạnh ngắt. Nước chang lạnh, thịt lạnh. Còn ram thì ko biết nói gì hơn, cắn ko đứt nổi, hình như là chiên chưa chín. Ăn cho qua bữa chứ ko có lần sau.",neg,cộng bún topping nem chả ramđiểm trừ nêm nếm không đc ngon lắm lạnh_ngắt chang lạnh thịt lạnh ram không cắn không đứt nổi hình_như chiên chín cho_qua bữa không
"tốn thêm tiền upsize nhưng vẫn ly nhỏ, hơi thất vọng về shop đó nha",neg,tốn tiền upsize ly hơi thất_vọng shop nha
Không ngon bánh ăn quá dai bị bón cục lại nữa chứ mong quán khắc phục lại,neg,không ngon bánh dai bón cục mong quán khắc_phục
"Trộn vs xoài xanh thì sẽ ngon hơn ạ
Xoài chín k ngon",neg,trộn vs xoài xanh ngon ạxoài chín không ngon
"Cơm rang k có vị gì, mình xin dầu xì mới có, ăn mà k nuốt nổi chán thực sự",neg,cơm_rang không vị dầu xì có_ăn không nuốt nổi chán thực_sự
"Ăn của quán nhiều lần nhưng lần này món ăn không ngon, chả cá có mùi thum thủm thật là ăn không nổi, chỉ ăn bún với rau thôi còn chả bỏ hết",neg,quán món ăn_không ngon chả cá mùi thum_thủm ăn_không nổi bún rau chả
"súp cua rất ngon nhưng shop lấy hộp bị nứt múc súp, tới nơi súp chảy ra",neg,súp cua ngon shop hộp nứt múc súp súp chảy
Tại sao machiato có nửa hủ vậy? Làm ăn riết kỳ vậy? Trước đây mua lúc nào cũng đầy hủ. Yêu cầu quán gọi lại cho tôi nếu không tôi đăng bài lên các group review nhé,neg,tại_sao machiato nửa hủ làm_ăn riết kỳ mua lúc_nào hủ yêu_cầu quán gọi không đăng group review
Đặt trà tắc khổng lồ lại giao trà bông hạt chia còn nói với ship đó là trà tắc,neg,trà tắc khổng_lồ giao trà hạt chia ship trà_tắc
"Cơm khô, khá là khô làm khó ăn. Điểm trừ làm mất điểm tổng thể.",neg,cơm khô khá khô làm_khó trừ tổng_thể
Đặt cháo thịt bầm hầm mềm ko hành để cho bé ăn . Giao cháo trắng với cục sườn cứng,neg,cháo thịt bầm hầm mềm không hành bé giao cháo trắng cục sườn cứng
"Này em chia sẽ thật do mấy quán bún riêu em nó chưa mở cửa nên em đánh liều chọn quán này.Em nói tiền nào của nấy nhưng nếu nó ít topping mà nó ok em sẽ k nói gì nhiều nhưng thật sự nó DỞ vì em bỏ ra 30k ăn ở chỗ khác thêm có 5k thôi mà nó thật sự khác đấy ạ mà do nay k mở  !!! Quán này từ nước lèo mặn,riêu thì ngọt như đường .Rất khó ăn ! Lần cuối cùng em đặt.Cảm ơn quán.",neg,chia mấy quán bún riêu mở_cửa đánh_liều quán tiền topping ok không thật_sự dở 30k chỗ khác 5k thật_sự khác đấy không quán nước_lèo mặn riêu đường cuối_cùng cảm_ơn quán
Không có thìa đũa,neg,không thìa đũa
sau không cho dưa leo hay cà chua gì luôn vậy quán,neg,không dưa_leo cà_chua quán
ĐẶt phần mì đùi nhưng quán giao mì ức vịt … quán giao sai nên xem lại nha,neg,mì đùi quán giao mì ức vịt … quán giao sai xem_lại nha
"Đặt tặng cocacola mà không thấy coca đâu, app còn lỗi lúc đặt 1 giá lúc thanh toán thành giá khác",neg,tặng cocacola không coca app lỗi 1 giá thanh_toán thành giá khác
"Đặt tổng cộng 18 cục takoyaki mà nhận dc có 14 cục, liên hệ quán ko bắt máy, shipper thì ko hỗ trợ được, rốt cuộc khách phải chịu, quán từng đặt thấy ok mà trải nghiệm lần này quá tệ, không bao giờ quay lại !!!",neg,tổng_cộng 18 cục takoyaki dc 14 cục liên_hệ quán không bắt máy shipper không hỗ_trợ rốt_cuộc quán ok trải nghiệm tệ không bao_giờ
"Mua 3 lần đều dở, không mua lại nữa, không cần đền ly khác ",neg,mua 3 dở không mua không đền ly khác
ăn gần nửa hộp cơm rồi thì phát hiện có cục cứt chuột ạ :(((( mong quán chú ý hơn trong khâu vệ sinh,neg,nửa hộp cơm phát_hiện cục cứt chuột buồn mong quán chú_ý khâu vệ_sinh
quán quên bỏ topping cho khách tốn tiền mua topping mà k có quán làm ăn vậy là chết rồi,neg,quán quên topping tốn tiền mua topping không quán làm_ăn chết
"Trà quán pha loãng quá, uống giống trà đường hơn là lục trà mật ong",neg,trà quán pha loãng uống trà đường lục trà mật_ong
"tiệm có tiếng mà đồ ăn thì dở đồ uống còn dở hơn, tệ quá tệ",neg,tiệm tiếng đồ dở_đồ uống dở tệ tệ
"bán riết không có topping luôn 
mắc chê nha nha nha nha nha nha nha",neg,riết không topping mắc chê nha_nha_nha_nha_nha_nha_nha
"Đặt trà sữa chân châu đường đen thêm topping chân châu đen mà cuối cùng ko có 1 hạt chân châu nào luôn? Chả hiểu làm ăn kiểu gì mà ngay gần nhà mình chứ, gọi 0917586754 để làm rõ đi",neg,trà sữa chân châu đường đen topping chân châu đen cuối_cùng không 1 hạt chân châu chả làm_ăn kiểu gọi 0917586754 đi
"Ổ bánh mì chả cá trứng 26k mà được cái trứng với 3 miếng chả cá
Nhìn tưởng ổ bánh mì 15k",neg,ổ bánh_mì chả cá trứng 26k trứng 3 miếng chả cánhìn tưởng ổ bánh_mì 15k
tại sao không cho rau và nước chấm rồi lấy qq gì ăn. đặt rất nhiều lần mà hôm nay làm vậy,neg,tại_sao không rau nước_chấm qq hôm_nay
Quá tệ . Ko đáng 12 nghìn . Chỉ như quết bơ xong nặn ít sữa,neg,tệ không 12 nghìn quết bơ xong nặn sữa
"Giao nhầm đơn hay sao vậy quán ơi? Không có muỗng hay nước mắm, mua thêm rau dưa mà không có 1 bịch nào luôn! Mình mua canh cải chua mà lại giao canh rong biển?",neg,giao nhầm đơn quán không muỗng nước_mắm mua rau_dưa không 1 bịch mua canh cải chua mà_lại giao canh rong biển
lúc trước thấy cũng được. càng ngày thấy càng tệ. cơm bỏ có mấy miếng đồ ăn le que 25k,neg,tệ cơm mấy miếng đồ le que 25k
"nem ăn quá chán
nước chấm được
đậu k ngon lắm
nói chung chỉ tàm tạm khi đói",neg,nem chánnước chấm đượcđậu không ngon lắmnói tàm_tạm đói
"đá quá nhiều  .lỏng bỏng. ! hơn nữa là đặt sinh tố bơ mà bán sinh tố sapoche  ,quá mắc  ,gian đối! Không chấp nhận !.",neg,đá lỏng bỏng sinh_tố bơ sinh_tố sapoche mắc gian đối không chấp_nhận
25k cho 1 ly trà sữa quá tệ. một lần và mãi mãi..  bye bye,neg,25k 1 ly trà sữa tệ mãi_mãi bye bye
Dặn quán cho nước mắm nhưng lại cho mắm tôm mà mình lại không ăn được mắm tôm,neg,dặn quán nước_mắm mắm_tôm không mắm_tôm
Tui đặt hàng không thấy giao sao để là đơn hàng thành công,neg,tui đặt_hàng không giao đơn hàng thành_công
"Siêu dở. Tốn tiền, nhạt toẹt. Cực dở luôn, ko đáng tiền chút nào. Gớm ghiếc. Cứ như đồ bỏ đi",neg,siêu dở tốn tiền nhạt cực dở không tiền chút gớm_ghiếc đồ đi
Mì còn chưa chín hẳn. Topping ít hơn so với những chỗ khác rất nhiều. Đã thế còn đắt hơn chỗ khác 🙃. Do gần với với chỗ mình nên mới đặt,neg,mì chín hẳn topping chỗ khác đắt chỗ khác 🙃 chỗ
"Trà vải tươi mà sao lại có đào mà k có vải???
Không biết nói sao luôn",neg,trà vải tươi đào không vải không
"Ngày nào cũng đặt, đặt cà phê sữa , mà khi nhận hàng là cà phê đen vậy",neg,cà_phê sữa hàng cà_phê đen_vậy
"ko giao hàng mà đã nhấn đã giao, cần phải phối hợp với loship lại để lọc lại những tài xế biến chất",neg,không giao hàng nhấn giao phối_hợp loship lọc tài_xế biến_chất
"Miếng sườn giống như bị cắt mất 1 miếng, không được nguyên vẹn miếng sườn nữa :) .hộp cơm 42k không hấp dẫn tí nào",neg,miếng sườn cắt 1 miếng không nguyên_vẹn miếng sườn vui hộp cơm 42k không hấp_dẫn tí
